indicator_code,indicator_name,measure_type,topic,source,short_definition
DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.",Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars.
DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)",total_external_debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Total external debt is debt owed to nonresidents repayable in currency, goods, or services. It is the sum of public, publicly guaranteed, and private nonguaranteed long-term debt, short-term debt, and use of IMF credit. Data are in current U.S. dollars."
DT.DOD.VTOT.CD,"External debt stocks, variable rate (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Debt stock contracted at variable interest rate for long-term external debt with interest rates that float with movements in a key market rate; for example, the Secured Overnight Financing Rate (SOFR) or the Euribor.  This item conveys information about the borrower's exposure to changes in international interest rates. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.DOD.VPPG.CD,"External debt stocks, variable rate public and publicly guaranteed debt (PPG) (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Debt stock contracted at variable interest rate for public and publicly guaranteed long-term external debt with interest rates that float with movements in a key market rate; for example, the Secured Overnight Financing Rate (SOFR) or the Euribor. This item conveys information about the borrower's exposure to changes in international interest rates. Public and publicly guaranteed long-term long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.AMT.PBND.GG.CD,"GG, bonds (AMT, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Amortization,"World Bank, International Debt Statistics.","General government debt from bonds that are either publicly issued or privately placed. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars."
DT.DIS.PBND.GG.CD,"GG, bonds (DIS, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.",General government debt from bonds that are either publicly issued or privately placed. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.
DT.DOD.PBND.GG.CD,"GG, bonds (DOD, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.",General government  debt from bonds that are either publicly issued or privately placed. Data are in current U.S. dollars.
DT.INT.PBND.GG.CD,"GG, bonds (INT, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","General government  debt from bonds that are either publicly issued or privately placed. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars."
DT.NFL.PBND.GG.CD,"GG, bonds (NFL, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.",General government debt from bonds that are either publicly issued or privately placed. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.
DT.NTR.PBND.GG.CD,"GG, bonds (NTR, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Net transfers,"World Bank, International Debt Statistics.",General government debt from bonds that are either publicly issued or privately placed. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.
DT.TDS.PBND.GG.CD,"GG, bonds (TDS, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.",General government  debt from bonds that are either publicly issued or privately placed. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars.
DT.AMT.PCBK.GG.CD,"GG, commercial banks (AMT, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Amortization,"World Bank, International Debt Statistics.","General government commercial bank loans from private banks and other private financial institutions. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars."
DT.DIS.PCBK.GG.CD,"GG, commercial banks (DIS, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.",General government commercial bank loans from private banks and other private financial institutions. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.
DT.DOD.PCBK.GG.CD,"GG, commercial banks (DOD, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.",General government  commercial bank loans from private banks and other private financial institutions. Data are in current U.S. dollars.
DT.INT.PCBK.GG.CD,"GG, commercial banks (INT, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","General government commercial bank loans from private banks and other private financial institutions. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars."
DT.NFL.PCBK.GG.CD,"GG, commercial banks (NFL, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.",General government commercial bank loans from private banks and other private financial institutions. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.
DT.NTR.PCBK.GG.CD,"GG, commercial banks (NTR, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Net transfers,"World Bank, International Debt Statistics.",General government commercial bank loans from private banks and other private financial institutions. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.
DT.TDS.PCBK.GG.CD,"GG, commercial banks (TDS, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.",General government commercial bank loans from private banks and other private financial institutions. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars.
DT.AMT.OFFT.GG.CD,"GG, official creditors (AMT, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Amortization,"World Bank, International Debt Statistics.","General government debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars."
DT.DIS.OFFT.GG.CD,"GG, official creditors (DIS, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.","General government debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars."
DT.DOD.OFFT.GG.CD,"GG, official creditors (DOD, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","General government debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Data are in current U.S. dollars."
DT.INT.OFFT.GG.CD,"GG, official creditors (INT, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","General government debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars."
DT.NFL.OFFT.GG.CD,"GG, official creditors (NFL, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.","General government debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars."
DT.NTR.OFFT.GG.CD,"GG, official creditors (NTR, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Net transfers,"World Bank, International Debt Statistics.","General government debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars."
DT.TDS.OFFT.GG.CD,"GG, official creditors (TDS, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","General goverment  debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars."
DT.NFL.NIFC.CD,"IFC, private nonguaranteed (NFL, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.",Nonguaranteed long-term debt privately placed from the International Finance Corporation (IFC). Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.
DT.INT.DIMF.CD,"IMF credit and SDR allocations, charges (INT, current US$)",imf_credit,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","IMF charges cover interest payments with respect to all uses of IMF resources, excluding those resulting from drawings in the reserve tranche. Data are in current U.S. dollars."
DT.INT.DIMF.US.CD,"IMF credit, charges (INT, current US$)",imf_credit,,,
DT.IXA.OFFT.CD,"Interest arrears, official creditors (current US$)",other_debt_monetary,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","World Bank, International Debt Statistics.","Interest in arrears on long-term debt is defined as interest payment due but not paid, on a cumulative basis. Debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.INT.DECB.CD,"Interest payments on external debt, central bank (PPG) (INT, current US$)",interest_payment,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Central bank long-term debt are aggregated. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.INT.DEGG.CD,"Interest payments on external debt, general government sector (PPG) (INT, current US$)",interest_payment,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","General government  long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.INT.DLXF.CD,"Interest payments on external debt, long-term (INT, current US$)",interest_payment,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Interest payments on long-term debt are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.INT.DOPS.CD,"Interest payments on external debt, other public sector (PPG) (INT, current US$)",interest_payment,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Other public sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.INT.PRPG.CD,"Interest payments on external debt, private guaranteed by public sector (PPG) (INT, current US$)",interest_payment,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Private sector guaranteed by Public Sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.INT.DPNG.CD,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",interest_payment,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Private nonguaranteed external debt is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.INT.DPPG.CD,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",interest_payment,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Public and publicly guaranteed long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.INT.DEPS.CD,"Interest payments on external debt, public sector (PPG) (INT, current US$)",interest_payment,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Public sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.INT.DSTC.CD,"Interest payments on external debt, short-term (INT, current US$)",interest_payment,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Interest payments on short-term debt are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. This item includes interest paid on long-term debt, IMF charges, and interest paid on short-term debt. Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars."
DT.INT.DECT.CD,"Interest payments on external debt, total (INT, current US$)",interest_payment,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. This item includes interest paid on long-term debt, IMF charges, and interest paid on short-term debt. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars."
DT.INT.VTOT.CD,"Interest payments on variable rate external debt, long-term (INT, current US$)",interest_payment,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Interest payments on long-term debt are actual amounts of interest paid, contracted with a variable interest rate, by the borrower in currency, goods, or services in the year specified. Variable interest rate is long-term external debt with interest rates that float with movements in a key market rate; for example, the Secured Overnight Financing Rate (SOFR) or the Euribor. This item conveys information about the borrower's exposure to changes in international interest rates. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.INT.VPPG.CD,"Interest payments on variable rate external debt, public and publicly guaranteed (PPG) (INT, current US$)",interest_payment,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Public and publicly guaranteed long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Interest payments are actual amounts of interest paid, contracted with a variable interest rate, by the borrower in currency, goods, or services in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.TDS.MLAT.CD,"Multilateral debt service (TDS, current US$)",debt_service,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars."
DT.NFL.DECB.CD,"Net flows on external debt, central bank (PPG) (NFL, current US$)",net_flow,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.","Central bank long-term debt are aggregated. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NFL.DEGG.CD,"Net flows on external debt, general government sector (PPG) (NFL, current US$)",net_flow,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.","General government long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NFL.DLXF.CD,"Net flows on external debt, long-term (NFL, current US$)",net_flow,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.","Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NFL.DOPS.CD,"Net flows on external debt, other public sector (PPG) (NFL, current US$)",net_flow,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.","Other public sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NFL.PRPG.CD,"Net flows on external debt, private guaranteed by public sector (PPG) (NFL, current US$)",net_flow,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.","Private sector guaranteed by Public Sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NFL.DPNG.CD,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",net_flow,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.","Private nonguaranteed external debt is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NFL.DPPG.CD,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",net_flow,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.","Public and publicly guaranteed long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NFL.DEPS.CD,"Net flows on external debt, public sector (PPG) (NFL, current US$)",net_flow,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.","Public sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NFL.DSTC.CD,"Net flows on external debt, short-term (NFL, current US$)",net_flow,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.",Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt. Data are in current U.S. dollars.
DT.NFL.DECT.CD,"Net flows on external debt, total (NFL, current US$)",net_flow,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.","Net flows on external debt are disbursements on long-term external debt and IMF purchases minus principal repayments on long-term external debt and IMF repurchases up to 1984. Beginning in 1985 this line includes the change in stock of short-term debt (including interest arrears for long-term debt). Thus, if the change in stock is positive, a disbursement is assumed to have taken place; if negative, a repayment is assumed to have taken place. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NTR.DECB.CD,"Net transfers on external debt, central bank (PPG) (NTR, current US$)",net_flow,Economic Policy & Debt: External debt: Net transfers,"World Bank, International Debt Statistics.","The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net transfers on external debt are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars."
DT.NTR.DEGG.CD,"Net transfers on external debt, general government sector (PPG) (NTR, current US$)",net_flow,Economic Policy & Debt: External debt: Net transfers,"World Bank, International Debt Statistics.","General government is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NTR.DLXF.CD,"Net transfers on external debt, long-term (NTR, current US$)",net_flow,Economic Policy & Debt: External debt: Net transfers,"World Bank, International Debt Statistics.","Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NTR.DOPS.CD,"Net transfers on external debt, other public sector (PPG) (NTR, current US$)",net_flow,Economic Policy & Debt: External debt: Net transfers,"World Bank, International Debt Statistics.","Other public sector is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NTR.PRPG.CD,"Net transfers on external debt, private guaranteed by public sector (PPG) (NTR, current US$)",net_flow,Economic Policy & Debt: External debt: Net transfers,"World Bank, International Debt Statistics.","Private sector guaranteed by Public Sector is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NTR.DPNG.CD,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",net_flow,Economic Policy & Debt: External debt: Net transfers,"World Bank, International Debt Statistics.","Private nonguaranteed external debt is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.NTR.DPPG.CD,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",net_flow,Economic Policy & Debt: External debt: Net transfers,"World Bank, International Debt Statistics.","Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
